,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
0,[ 109 1337],[ 108 1337],[ 128 1313],0.8,0.7000000000000001,0.796836489772433,-38.549115753807456
1,[  91 1850],[  94 1851],[  68 1834],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
2,[ 281 1674],[ 295 1689],[ 271 1669],-1.0,-1.3461538461538465,-1.2240603281818727,50.75278567904821
3,[ 263 6347],[ 275 6359],[ 253 6337],-0.7000000000000001,-1.0,-0.8636363636363635,40.81508387488159
4,[ 216 4016],[ 207 4007],[ 227 4031],-0.8,-0.7000000000000001,-0.759373350063377,37.21206823804876
5,[175 607],[175 607],,0.7000000000000001,,0.7000000000000001,-34.99202019855867
6,[ 343 7727],[ 354 7717],[ 321 7711],2.5,1.5,2.146626606368068,-65.02167395553363
7,[ 288 6233],[ 288 6233],,-2.4999999999999996,,-2.4999999999999996,68.19859051364818
8,[ 294 7102],[ 301 7109],[ 278 7088],-1.0,-1.3461538461538465,-1.1099721965515053,47.9835684469487
9,[149 229],[158 239],[138 215],-0.7000000000000001,-0.7000000000000002,-0.7,34.99202019855866
10,[  76 3547],[  83 3541],[  57 3557],1.7857142857142856,1.3461538461538467,1.6536642887125188,-58.83790556770929
11,[141 954],[138 952],[156 977],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
12,[  67 1799],[  60 1793],[  83 1814],-1.3461538461538467,-1.3461538461538463,-1.34615,53.39284682374126
13,[  32 7275],[  26 7271],[  54 7285],-1.7857142857142858,-1.7857142857142856,-1.7857099999999997,60.751115041598304
14,[ 111 4406],[  92 4425],[ 113 4402],0.8,0.7000000000000001,0.7142687394709968,-35.53703377765758
15,[ 197 5261],[ 191 5269],[ 210 5244],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
16,[  91 4360],[ 103 4347],[  80 4368],1.0,1.3461538461538463,1.1956975852988572,-50.09318601666556
17,[ 233 2129],[ 238 2124],[ 217 2147],0.6,0.7000000000000001,0.6226969554074082,-31.910396177862705
18,[ 347 4601],[ 351 4599],[ 321 4609],2.5,2.5,2.5,-68.19859051364821
19,[ 301 5558],[ 301 5558],,-1.176470588235294,,-1.176470588235294,49.63546342690263
20,[ 328 3792],[ 337 3784],[ 310 3799],1.785714285714286,1.5624999999999998,1.69998774656232,-59.5342745987861
21,[ 154 6748],[ 170 6731],[ 151 6755],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
22,[285 905],[295 913],[272 892],-1.3461538461538465,-1.0,-1.2040295361797533,50.2888627511491
23,[ 280 1436],[ 261 1454],[ 284 1432],1.0,1.0,1.0,-44.99999999999999
24,[ 157 1765],[ 172 1780],[ 150 1757],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
25,[ 268 3255],[ 273 3260],[ 251 3238],-1.0,-0.7000000000000001,-0.9318181818181818,42.97863505964399
26,[ 342 7719],[ 353 7710],[ 321 7711],2.5,1.5,2.1125741132772067,-64.66917675220412
27,[  93 1776],[  84 1768],[ 107 1790],-1.0,-1.0,-1.0,44.99999999999999
28,[ 264 4024],[ 273 4035],[ 252 4012],-0.7000000000000001,-1.0,-0.8367337729310513,39.92036110322453
29,[  99 4378],[ 116 4361],[  93 4383],1.0,1.0,1.0,-44.99999999999999
30,[ 197 7121],[ 195 7117],[ 211 7143],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
31,[ 291 7059],[ 273 7041],[ 297 7061],-1.5,-1.3461538461538465,-1.3767673884874352,54.007629019939245
32,[ 260 1433],[ 251 1442],[ 273 1419],1.0,1.0,1.0,-44.99999999999999
33,[172 547],[182 537],[164 562],0.7000000000000001,0.7000000000000001,0.7000000000000001,-34.99202019855867
34,[ 90 463],[ 94 459],[ 69 477],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
35,[ 264 2477],[ 272 2486],[ 253 2461],-1.0,-0.7000000000000001,-0.8851653344388044,41.514140400780136
36,[ 139 7498],[ 146 7489],[ 129 7515],0.7000000000000001,0.7000000000000001,0.6999999999999998,-34.992020198558656
37,[ 193 3273],[ 175 3254],[ 196 3277],-0.7000000000000001,-0.6,-0.6160397762550035,31.634721383239423
38,[ 124 5962],[ 102 5984],[ 124 5961],1.0,1.0,1.0,-44.99999999999999
39,[  73 2563],[  68 2559],[  91 2581],-1.0,-1.0,-1.0,44.99999999999999
40,[  36 5833],[  12 5854],[  40 5830],2.5,2.5,2.4999999999999996,-68.19859051364818
41,[  57 4242],[  69 4242],[  40 4241],-2.5000000000000004,-2.5,-2.5,68.19859051364821
42,[323 851],[333 861],[306 846],-1.5,-1.5624999999999998,-1.527740834277869,56.79279480913494
43,[ 333 3960],[ 334 3960],[ 306 3947],-1.9999999999999996,-1.5624999999999998,-1.9858718968162763,63.27213301026707
44,[  57 7419],[  76 7401],[  51 7420],2.4999999999999996,2.5,2.4999999999999996,-68.19859051364818
45,[  80 2616],[  93 2628],[  69 2608],-1.3461538461538463,-1.3461538461538463,-1.3461500000000002,53.392846823741266
46,[132 210],[115 193],[137 215],-0.7000000000000002,-0.7000000000000001,-0.7000000000000001,34.99202019855867
47,[ 100 2803],[ 104 2798],[  82 2820],1.1764705882352942,1.1764705882352942,1.17647,-49.63544929005889
48,[126 999],,[126 999],,-1.0,-1.0,44.99999999999999
49,[ 192 4490],[ 190 4493],[ 206 4466],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
50,[  60 3394],[  38 3373],[  61 3395],-1.3461538461538467,-1.3461538461538467,-1.34615,53.39284682374126
51,[ 42 273],[ 39 270],[ 65 287],-1.5,-1.3461538461538463,-1.4790579909688013,55.93713788906572
52,[256 912],[276 932],[253 910],-1.0,-1.0,-1.0,44.99999999999999
53,[ 244 6352],[ 262 6370],[ 241 6347],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
54,[ 309 6856],[ 316 6849],[ 292 6869],1.176470588235294,1.3461538461538465,1.2301352796115148,-50.891693006296485
55,[335 694],[340 689],[311 701],1.785714285714286,2.5,1.9431975229277128,-62.76893725690088
56,[ 259 2178],[ 280 2157],[ 257 2179],1.0,1.0,1.0,-44.99999999999999
57,[ 285 4499],[ 290 4493],[ 268 4515],1.0,1.0,1.0,-44.99999999999999
58,[318 110],[318 110],,-1.5,,-1.5,56.30993247402022
59,[ 312 2246],[ 333 2225],[ 309 2247],1.785714285714286,1.7857142857142858,1.78571,-60.75111504159832
60,[ 183 2507],[ 162 2487],[ 185 2509],-0.7000000000000001,-0.6,-0.6088864809865113,31.336670011885946
61,[  49 2049],[  46 2050],[  72 2033],1.3461538461538467,1.3461538461538463,1.34615,-53.39284682374126
62,[ 214 6359],[ 196 6341],[ 218 6363],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
63,[ 332 3063],[ 350 3045],[ 322 3066],2.5,2.5,2.5000000000000004,-68.19859051364821
64,[ 301 2251],[ 284 2268],[ 309 2248],1.7857142857142858,1.785714285714286,1.78571,-60.75111504159832
65,[  60 3493],[  69 3493],[  40 3496],inf,2.5,8.117707893376856,-82.9772582681001
66,[ 293 3750],[ 307 3736],[ 283 3756],1.0,1.3461538461538465,1.2178393410577226,-50.6096796033544
67,[ 103 4425],[  98 4430],[ 119 4407],0.8,0.7000000000000001,0.7773030445925916,-37.858031929779656
68,[  93 7193],[  90 7190],[ 112 7212],-0.7000000000000001,-0.7000000000000001,-0.6999999999999998,34.992020198558656
69,[310 666],[322 656],[297 674],1.3461538461538465,1.3461538461538465,1.3461500000000002,-53.392846823741266
70,[ 183 5192],[ 185 5190],[ 168 5216],0.6,0.7000000000000001,0.6090857483461233,-31.34499846603678
71,[ 306 5399],[ 294 5410],[ 322 5398],2.5,2.5,2.5,-68.19859051364821
